objectid,title,creator,date,subject,description,location,filename,format,filesize,rights
BT_001,Tempest Turner,"Turner, Bailey",,"Turner, Tempest; Pets; Cats; Christmas Trees","A photograph of Tempest ""the Cat"" Turner. She is an elder domestic shorthair with tuxedo coloring. She is laying under a Christmas tree on a tree skirt.","Clear Lake, Iowa, United States",454767021,image/jpeg,100 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_002,Lydia Turner,"Turner, Letitia",,"Turner, Lydia; Pets; Dogs","A photograph of Lydia ""Lyd"" Turner, an elder Black Labrador Retriever. She is laying down next to a set of steps.","Clear Lake, Iowa, United States",464469867,image/jpeg,51.1 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Letitia Turner. For other uses beyond free use, please contact Bailey Turner."
BT_003,Martin Turner,"Turner, Bailey",2019-10-07,"Turner, Martin; Pets; Cats","A photograph of Martin ""Marty"" Turner, an elder domestic shorthair cat with tabby coloring. The photograph shows a 3/4 profile.","Maquoketa, Iowa, United States",20191007_210043,image/jpeg,3.3 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_004,Patches and Martin Turner,"Turner, Bailey",,"Turner, Martin; Turner, Patches; Pets; Cats","A photograph of Martin ""Marty"" Turner and Patches ""Spitfire"" Turner. Martin is a young domestic shorthair cat with tabby coloring; Patches is a Calico kitten. They are snuggling on a plaid sherpa blanket.","Clear Lake, Iowa, United States",455025278,image/jpeg,103.3 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_005,Hades Turner,"Turner, Bailey",2020-02-25,"Turner, Hades; Pets; Cats","A photograph of Hades Turner, an older domestic shorthair with black coloring. He's laying next to a brown teddy bear with a ribbon around its neck. There are mint green sheets in the background.","Maquoketa, Iowa, United States",20200225_234815,image/jpeg,3.5 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_006,Gretel Turner,"Turner, Bailey",2020-05-31,"Turner, Gretel; Pets; Cats","A photograph of Gretel Turner, an older domestic short hair with tuxedo coloring. She's laying on a bed that is covered with red sheets.","St. Ansgar, Iowa, United States",20200231_124404,image/jpeg,4.4 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_007,Hansel Turner,"Turner, Bailey",2018-11-01,"Turner, Hansel; Pets; Cats","A photograph of Hansel Turner, a young domestic shorthair cat with tuxedo coloring. He's asleep on top of a comforter in an arm chair.","Clear Lake, Iowa, United States",20181101_195217,image/jpeg,3.3 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_008,Wolfgang and Lydia Turner,"Turner, Bailey",,"Turner, Lydia; Turner, Wolfgang; Pets; Dogs","A photograph of Wolfgang ""Wolfie"" Turner, alongside of Lydia ""Lyd"" Turner. Wolfie is a young Miniature Schnauzer/King Charles Cavalier mix. He is sitting next to Lydia who is a elder Black Labrador Retriever.","Clear Lake, Iowa, United States",464961599,image/jpeg,38.4 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Letitia Turner. For other uses beyond free use, please contact Bailey Turner."
BT_009,Tilde Turner,"Turner, Bailey",2025-02-13,"Turner, Tilde; Pets; Dogs","A photograph of Tilde ""Tilly"" Turner; an older Chow Chow mixed breed. She is sitting in front of a car with a green bow stuck to her head.","St. Ansgar, Iowa, United States",IMG_20250213_183754,image/jpeg,427.1 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_010,Wednesday Turner,"Turner, Bailey",2020-03-26,"Turner, Wednesday; Pets; Cats",A photograph of Wednesday Turner; a young domestic shorthair with black coloring and yellow eyes. She is laying in a sink. There is a hair brush in the background.,"Maquoketa, Iowa, United States",20200326_102351,image/jpeg,3.5 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_011,Hans Turner,"Turner, Bailey",2020-05-31,"Turner, Hans; Pets; Cats",A photograph of Hans Turner; a domestic shorthair kitten with tuxedo coloring. He is looking out of a window. There is a tree in the background.,"St. Ansgar, Iowa, United States",20200531_124326,image/jpeg,4.6 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_012,Wells Turner,"Turner, Bailey",2020-05-30,"Turner, Wells; Pets; Cats","A photograph of Wells ""Welly"" Turner; an older domestic shorthair with tabby coloring. He is laying on top of a human arm. There are trees and sunlight in the background.","St. Ansgar, Iowa, United States",20200530_192544,image/jpeg,3.7 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_013,Karen Turner,"Turner, Bailey",2025-04-05,"Turner, Karen; Pets; Cats","A photograph of Karen Turner; an older domestic short hair with white and brown coloring. She is laying on top of a desk, in front of two computer moniters.","St. Ansgar, Iowa, United States",20250405_170400,image/jpeg,5.1 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_014,Winston Turner,"Turner, Bailey",2024-11-20,"Turner, Winston; Pets; Cats","A photograph of Winston ""Winnie"" Turner; a young domestic longhair with white and grey coloring. He is laying on his back next to a winter catnip mouse.","St. Ansgar, Iowa, United States",20241120_120301,image/jpeg,3.6 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_015,Olive Turner,"Turner, Bailey",2023-12-21,"Turner, Olive; Pets; Cats","A photograph of Olive ""Baby Olive"" Turner; a very young domestic shorthair with tabby coloring. She is laying on her back with her tongue out. There is a human hand holding her head up. ","St. Ansgar, Iowa, United States",20231221_133602,image/jpeg,4.5 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_016,Hansel and Gretel Turner,"Turner, Bailey",,"Turner, Gretel; Turner, Hansel; Pets; Cats",A photograph of Hansel and Gretel; two young domestic shorthair littermates with matching tuxedo colorings. They are snuggled up on a deck chair.,"Clear Lake, Iowa, United States",465788839,image/jpeg,232.2 KB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_017,Hades and Wednesday Turner,"Turner, Bailey",2023-02-03,"Turner, Hades; Turner, Wednesday; Pets; Cats","A photograph of Hades and Wednesday Turner; they are ""loafing"" next to each other in a brown recliner chair. They are both looking at the camera.","St. Ansgar, Iowa, United States",20230203_211938,image/jpeg,4.5 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
BT_018,Karen and Wells Turner,"Turner, Bailey",2023-04-21,"Turner, Karen; Turner, Wells; Pets; Cats","A photograph of Karen and Wells ""Welly"" Turner; two different litter siblings. They are curled up next to each other on top of a brown blanket.","St. Ansgar, Iowa, United States",20230421_162441,image/jpeg,4 MB,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by Bailey Turner. For other uses beyond free use, please contact Bailey Turner."
